"SubNo"	"Hemisphere"	"ScalpLocation"	"CoilOrient"	"Block"	"Trial"	"Condition"	"Corr"	"Response"	"ACC"	"RT"	"Actual.orientation"	"Annoyance"	"Pain"	"Twitches"	"Visible.twitch"	"Av.RT.Prac"	"RT.Diff"	"Task"	"Congruence"	"Axes"	"HomLocation"	"RefLocation"
"107"	"1"	"1"	"24"	"SW"	6	7	"cong_r"	"n"	"n"	"1"	0.459283	"SW"	2	0	2	4	0.390825	0.068458	"Flanker"	"Cong"	"NE.SW"	"FC5.6"	"24"
"108"	"1"	"1"	"24"	"SW"	6	8	"incon_r"	"n"	"n"	"1"	0.516231	"SW"	2	0	2	4	0.4346445	0.0815865	"Flanker"	"Incong"	"NE.SW"	"FC5.6"	"24"
"109"	"1"	"1"	"24"	"SW"	6	9	"cong_r"	"n"	"n"	"1"	0.509791	"SW"	2	0	2	4	0.390825	0.118966	"Flanker"	"Cong"	"NE.SW"	"FC5.6"	"24"
"110"	"1"	"1"	"24"	"SW"	6	10	"cong_l"	"c"	"c"	"1"	0.455651	"SW"	2	0	2	4	0.4105801	0.0450708999999999	"Flanker"	"Cong"	"NE.SW"	"FC5.6"	"24"
"111"	"1"	"1"	"24"	"W"	6	11	"cong_r"	"n"	"n"	"1"	0.406059	"W"	1	0	1	4	0.390825	0.015234	"Flanker"	"Cong"	"E.W"	"FC5.6"	"24"
"112"	"1"	"1"	"24"	"W"	6	12	"cong_l"	"c"	"c"	"1"	0.371074	"W"	1	0	1	4	0.4105801	-0.0395061	"Flanker"	"Cong"	"E.W"	"FC5.6"	"24"
"113"	"1"	"1"	"24"	"W"	6	13	"incon_r"	"n"	"n"	"1"	0.380368	"W"	1	0	1	4	0.4346445	-0.0542765	"Flanker"	"Incong"	"E.W"	"FC5.6"	"24"
"114"	"1"	"1"	"24"	"W"	6	14	"incon_l"	"c"	"c"	"1"	0.470235	"W"	1	0	1	4	0.4339483	0.0362867000000001	"Flanker"	"Incong"	"E.W"	"FC5.6"	"24"
"115"	"1"	"1"	"24"	"W"	6	15	"incon_l"	"c"	"c"	"1"	0.480331	"W"	1	0	1	4	0.4339483	0.0463827000000001	"Flanker"	"Incong"	"E.W"	"FC5.6"	"24"
"116"	"1"	"1"	"24"	"S"	6	16	"incon_r"	"n"	"n"	"1"	0.388272	"S"	3	2	5	3	0.4346445	-0.0463725	"Flanker"	"Incong"	"N.S"	"FC5.6"	"24"
"117"	"1"	"1"	"24"	"S"	6	17	"incon_l"	"c"	"c"	"1"	0.381757	"S"	3	2	5	3	0.4339483	-0.0521912999999999	"Flanker"	"Incong"	"N.S"	"FC5.6"	"24"
"118"	"1"	"1"	"24"	"S"	6	18	"cong_l"	"c"	"c"	"1"	0.423271	"S"	3	2	5	3	0.4105801	0.0126908999999999	"Flanker"	"Cong"	"N.S"	"FC5.6"	"24"
"119"	"1"	"1"	"24"	"S"	6	19	"cong_r"	"n"	"n"	"1"	0.465651	"S"	3	2	5	3	0.390825	0.074826	"Flanker"	"Cong"	"N.S"	"FC5.6"	"24"
"120"	"1"	"1"	"24"	"S"	6	20	"incon_r"	"n"	"n"	"1"	0.587361	"S"	3	2	5	3	0.4346445	0.1527165	"Flanker"	"Incong"	"N.S"	"FC5.6"	"24"
"121"	"1"	"1"	"20"	"S"	7	1	"cong_l"	"c"	"c"	"1"	0.454194	"S"	1	0	2	1	0.4105801	0.0436138999999999	"Flanker"	"Cong"	"N.S"	"AF"	"20"
"122"	"1"	"1"	"20"	"S"	7	2	"cong_r"	"n"	"n"	"1"	0.416257	"S"	1	0	2	1	0.390825	0.025432	"Flanker"	"Cong"	"N.S"	"AF"	"20"
"123"	"1"	"1"	"20"	"S"	7	3	"incon_l"	"c"	"c"	"1"	0.378045	"S"	1	0	2	1	0.4339483	-0.0559032999999999	"Flanker"	"Incong"	"N.S"	"AF"	"20"
"124"	"1"	"1"	"20"	"S"	7	4	"incon_l"	"c"	"c"	"1"	0.451457	"S"	1	0	2	1	0.4339483	0.0175087	"Flanker"	"Incong"	"N.S"	"AF"	"20"
"125"	"1"	"1"	"20"	"S"	7	5	"incon_r"	"n"	"n"	"1"	0.413262	"S"	1	0	2	1	0.4346445	-0.0213825	"Flanker"	"Incong"	"N.S"	"AF"	"20"
